title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
AI Research Engineer,Data Science and Research,150000.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,107968.0,Germany,Senior,Full-time,Remote,,jobs_in_data
Analytics Engineer,Leadership and Management,146000.0,Canada,Senior,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,77737.0,Spain,Senior,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,75577.0,Italy,Senior,Full-time,Remote,,jobs_in_data
Power BI Developer,BI and Visualization,64781.0,Denmark,Mid-level,Full-time,Remote,,jobs_in_data
Data Science Consultant,Data Science and Research,70132.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Business Intelligence Developer,BI and Visualization,15000.0,Ghana,Mid-level,Full-time,Remote,,jobs_in_data
Applied Data Scientist,Data Science and Research,64781.0,Germany,Senior,Full-time,In-person,,jobs_in_data
Head of Data Science,Data Science and Research,131721.0,Netherlands,Executive,Full-time,Hybrid,,jobs_in_data
Data Engineer,Data Engineering,86374.0,Sweden,Senior,Full-time,Remote,,jobs_in_data
AI Programmer,Machine Learning and AI,40000.0,South Korea,Entry-level,Full-time,In-person,,jobs_in_data
Research Engineer,Data Science and Research,32390.0,France,Entry-level,Full-time,In-person,,jobs_in_data
Computer Vision Engineer,Machine Learning and AI,110736.0,United Kingdom,Mid-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,57007.0,Estonia,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,287500.0,Australia,Mid-level,Full-time,In-person,,jobs_in_data
Staff Machine Learning Engineer,Machine Learning and AI,185000.0,United States,Senior,Full-time,Hybrid,,jobs_in_data
Staff Data Scientist,Data Science and Research,164000.0,United States,Senior,Full-time,Hybrid,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,113366.0,Germany,Senior,Full-time,Hybrid,,jobs_in_data
Consultant Data Engineer,Data Engineering,118539.0,Canada,Senior,Contract,Remote,,jobs_in_data
BI Analyst,BI and Visualization,18381.0,Turkey,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Specialist,Machine Learning and AI,70000.0,France,Mid-level,Full-time,Remote,,jobs_in_data
Data Quality Engineer,Data Quality and Operations,23753.0,Portugal,Entry-level,Full-time,Hybrid,,jobs_in_data
Research Analyst,Data Science and Research,43064.0,United Kingdom,Entry-level,Full-time,In-person,,jobs_in_data
Principal Machine Learning Engineer,Machine Learning and AI,38290.0,Brazil,Senior,Full-time,Hybrid,,jobs_in_data
Deep Learning Engineer,Machine Learning and AI,331640.0,United States,Senior,Full-time,In-person,,jobs_in_data
Business Intelligence Data Analyst,Data Analysis,67419.0,Canada,Mid-level,Full-time,Hybrid,,jobs_in_data
Data Science Engineer,Data Science and Research,104024.0,Switzerland,Entry-level,Full-time,Hybrid,,jobs_in_data
Data Scientist,Data Science and Research,50745.0,Andorra,Mid-level,Full-time,Hybrid,,jobs_in_data
AI Programmer,Machine Learning and AI,74087.0,Canada,Entry-level,Full-time,Remote,,jobs_in_data
Data Operations Manager,Data Quality and Operations,143000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Scientist,Data Science and Research,16000.0,Ecuador,Entry-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,27000.0,Portugal,Mid-level,Full-time,Remote,,jobs_in_data
Data Manager,Leadership and Management,72000.0,Mexico,Executive,Full-time,Remote,,jobs_in_data
Head of Data Science,Data Science and Research,330000.0,United States,Executive,Full-time,In-person,,jobs_in_data
Lead Machine Learning Engineer,Machine Learning and AI,115000.0,Israel,Senior,Full-time,Remote,,jobs_in_data
AI Scientist,Machine Learning and AI,20000.0,Turkey,Entry-level,Full-time,Remote,,jobs_in_data
Managing Director Data Science,Data Science and Research,300000.0,United States,Executive,Full-time,Remote,,jobs_in_data
Data Modeller,Data Architecture and Modeling,110736.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
